Parcel_ID,State,Land_Use_Type,Area_Hectares,Carbon_Tons_per_Ha,Carbon_Value_INR,Flood_Mitigation_Value_INR,Water_Filtration_Value_INR,Pollination_Value_INR,Biodiversity_Index,Biodiversity_Value_INR,Total_Ecosystem_Value_INR,Development_Profit_INR,Discount_Rate,Time_Horizon_Years,NPV_Environment_INR,NPV_Development_INR,Environmental_ROI,Financial_ROI
16,Odisha,Wetland,404.68,225.06,364309123.2,5240641.16,1388325.57,1234847.21,0.52,4208672.0,376381609.14,102992553.87,0.107,20,307137717.8,84044749.21,1.9821,-0.7767
17,West Bengal,Barren Land,8.44,132.58,4475900.8,130273.72,41249.67,17544.97,0.45,75960.0,4740929.16,2411539.48,0.059,50,3559456.3,1810566.9,0.476,-0.6181
18,Odisha,Agriculture,261.8,178.72,187155584.0,3688955.75,3830963.14,2529518.32,0.39,2042040.0,199247061.21,45634914.71,0.057,10,188502423.09,43173996.89,3.1307,-0.7833
19,West Bengal,Industrial,146.0,18.85,11008400.0,2954909.82,1246084.79,213643.08,0.41,1197200.0,16620237.69,40451704.84,0.052,50,12899073.91,31394829.63,-0.6811,0.889
20,Odisha,Grassland,76.72,127.47,39117993.6,2274077.57,394856.25,540816.15,0.77,1181488.0,43509231.57,8393888.09,0.096,20,36220989.04,6987825.74,3.3152,-0.8394
21,Gujarat,Agriculture,187.05,161.75,121021350.0,3897793.31,1676916.51,339048.31,0.83,3105030.0,130040138.13,24352977.79,0.047,40,108215805.24,20265874.36,3.4436,-0.8442
22,Uttar Pradesh,Wetland,25.18,151.81,15290303.2,552426.77,55789.86,141230.53,0.37,186332.0,16226082.36,5320362.72,0.046,10,15512507.04,5086388.83,1.9157,-0.6865
23,Odisha,Urban,347.01,102.82,142718272.8,9861416.83,1314394.86,1412190.91,0.29,2012658.0,157318933.4,97569983.12,0.109,30,115341701.79,71535495.78,0.1821,-0.5453
24,Odisha,Wetland,132.68,168.4,89373248.0,3374126.04,1222992.57,765146.35,0.38,1008368.0,95743880.96,9722218.81,0.111,40,62842693.6,6381299.9,5.4638,-0.9334
25,Odisha,Wetland,450.71,161.94,291951909.6,6073652.93,2947519.22,3395469.36,0.87,7842354.0,312210905.11,122490180.57,0.1,20,258025541.41,101231554.19,1.1065,-0.6758
26,Gujarat,Forest,322.81,30.19,38982535.6,2918434.13,4416429.61,2084662.28,0.21,1355802.0,49757863.62,24329507.19,0.09,10,45649416.17,22320648.8,0.8763,-0.5514
27,Maharashtra,Forest,7.51,48.59,1459643.6,140574.77,82569.73,51576.06,0.37,55574.0,1789938.16,1712616.49,0.051,50,1395804.03,1335508.15,-0.185,-0.2539
28,Assam,Urban,166.07,189.16,125655204.8,3527463.39,2165536.91,1148957.96,0.63,2092482.0,134589645.06,12192642.17,0.063,50,99162010.89,8983209.04,7.1329,-0.9333
29,West Bengal,Grassland,136.28,68.56,37373427.2,3996446.96,968987.65,1230392.94,0.67,1826152.0,45395406.75,33893221.11,0.075,20,39282125.91,29328909.56,0.159,-0.3539
30,West Bengal,Agriculture,290.57,128.2,149004296.0,2871143.87,3310137.84,1024826.23,0.22,1278508.0,157488911.94,61417221.26,0.046,50,125774198.92,49049178.82,1.0479,-0.6886
31,Odisha,Wetland,470.53,238.94,449713752.8,13114428.54,3205280.05,535985.22,0.9,8469540.0,475038986.61,73894871.83,0.117,40,305152239.32,47468073.67,3.1295,-0.9001
32,Karnataka,Barren Land,481.99,214.72,413971571.2,5957985.54,3376952.3,4174144.28,0.44,4241512.0,431722165.32,44522952.24,0.08,20,370132171.91,38171255.35,7.3133,-0.9116
33,Odisha,Grassland,468.4,177.05,331720880.0,9017416.3,1528527.11,3061024.46,0.94,8805920.0,354133767.87,39823838.18,0.077,50,244393034.44,27483029.12,5.1369,-0.9224
34,Gujarat,Grassland,439.3,187.78,329967016.0,9851475.38,4890416.36,1860620.16,0.42,3690120.0,350259647.9,110853088.9,0.103,20,287898287.7,91116446.53,1.5971,-0.7399
35,Karnataka,Grassland,434.2,229.18,398039824.0,7721621.74,3699258.88,3553777.9,0.69,5991960.0,419006442.52,97908504.53,0.102,10,380223632.05,88846192.86,2.8835,-0.788
36,Gujarat,Urban,445.55,91.12,162394064.0,6411274.61,1435457.49,2764424.45,0.23,2049530.0,175054750.55,74139299.24,0.079,20,150359548.02,63680371.37,1.0281,-0.6362
37,Karnataka,Agriculture,146.84,151.8,89161248.0,846166.42,364974.7,1233956.0,0.47,1380296.0,92986641.12,12006391.42,0.077,30,74434358.6,9610929.42,5.1996,-0.8966
38,Assam,Solar Farm,386.15,61.8,95456280.0,7943978.93,1200740.01,565762.07,0.6,4633800.0,109800561.01,71499063.05,0.087,10,101012475.63,65776506.95,0.4128,-0.4009
39,Maharashtra,Barren Land,364.42,244.2,355965456.0,6525854.32,2258833.37,2972455.78,0.4,2915360.0,370637959.47,58213491.28,0.037,20,344661190.22,54133503.27,4.9206,-0.8539
40,Maharashtra,Solar Farm,17.55,241.04,16921008.0,454536.28,193886.52,82144.12,0.33,115830.0,17767404.92,1563867.52,0.053,20,16023864.27,1410402.98,9.2463,-0.9206
41,West Bengal,Barren Land,276.87,181.5,201007620.0,5954071.19,1561308.87,2656231.95,0.75,4153050.0,215332282.01,52214501.63,0.085,30,168585387.44,40879156.18,2.2287,-0.8102
42,Maharashtra,Industrial,212.7,69.46,59096568.0,2956384.72,2520920.28,240253.46,0.29,1233660.0,66047786.46,13081190.49,0.034,40,57779810.36,11443664.45,3.417,-0.8267
43,West Bengal,Industrial,428.45,178.88,306564544.0,7221244.43,1401821.6,2324145.4,0.56,4798640.0,322310395.43,39974585.29,0.069,10,301506450.36,37394373.52,6.5425,-0.884
44,Uttar Pradesh,Forest,202.26,157.8,127666512.0,4222651.05,523641.46,884182.33,0.67,2710284.0,136007270.84,35554084.92,0.107,50,81813320.92,21387075.42,1.3011,-0.8428
45,Odisha,Solar Farm,331.05,49.1,65018220.0,2239294.6,3426847.73,410039.12,0.64,4237440.0,75331841.45,94368305.36,0.082,40,54962887.51,68852087.67,-0.4176,-0.086
46,Assam,Solar Farm,197.14,164.39,129631378.4,3244199.37,1792597.62,1867543.35,0.49,1931972.0,138467690.74,57229276.94,0.111,10,124633385.0,51511500.4,1.1778,-0.628
47,Uttar Pradesh,Solar Farm,101.92,26.65,10864672.0,766382.35,227983.19,188550.64,0.71,1447264.0,13494852.18,6909886.76,0.059,50,10131840.19,5187894.43,0.4663,-0.6156
48,West Bengal,Wetland,423.21,15.59,26391375.6,10733330.16,2397108.87,873286.83,0.72,6094224.0,46489325.46,87704225.55,0.109,50,27713763.98,52283275.42,-0.684,0.1246
49,Uttar Pradesh,Solar Farm,368.86,202.84,299278249.6,4445081.81,1588574.55,2860705.82,0.81,5975532.0,314148143.78,109782431.67,0.067,30,258607573.68,90373184.91,1.3556,-0.7123
50,Assam,Urban,189.15,196.34,148550844.0,2557324.74,2666985.73,1650468.95,0.52,1967160.0,157392783.42,44964315.62,0.098,30,118898888.68,33967295.33,1.6443,-0.7842
51,Gujarat,Wetland,56.05,226.61,50805962.0,988234.89,714298.23,217499.02,0.87,975270.0,53701264.14,8256188.52,0.031,50,46098965.84,7087389.07,4.5836,-0.868
52,Gujarat,Barren Land,453.16,31.91,57841342.4,5883304.2,6503211.05,4330154.21,0.63,5709816.0,80267827.86,94238837.77,0.07,30,65522457.46,76926963.19,-0.3047,-0.0416
53,Tamil Nadu,Grassland,150.14,88.88,53377772.8,3274998.02,1768779.65,1219769.1,0.79,2372212.0,62013531.57,10930421.08,0.074,50,43397534.55,7649190.66,2.9703,-0.8767
54,Maharashtra,Forest,33.49,141.89,19007584.4,537121.41,453459.77,139259.29,0.29,194242.0,20331666.87,2871697.86,0.099,50,12681905.81,1791225.58,3.4162,-0.9119
55,Karnataka,Forest,311.02,34.27,42634621.6,2209072.47,3456240.45,514696.75,0.82,5100728.0,53915359.27,70464864.37,0.037,30,48347746.28,63188253.41,-0.3139,0.172
56,Odisha,Agriculture,46.99,246.79,46386648.4,674624.62,320394.17,390731.06,0.91,855218.0,48627616.25,13932547.5,0.098,10,44287446.49,12689023.22,2.1787,-0.7391
57,West Bengal,Wetland,191.25,30.04,22980600.0,4671983.69,1770832.57,921442.13,0.88,3366000.0,33710858.39,14879129.62,0.074,10,31388136.3,13853938.19,1.1095,-0.589
58,West Bengal,Barren Land,10.62,122.48,5202950.4,68048.52,37644.0,21853.16,0.69,146556.0,5477052.08,2511749.15,0.083,40,3981374.62,1825838.82,0.5851,-0.6666
59,Tamil Nadu,Agriculture,481.28,99.97,192454246.4,5844087.82,6397072.05,1449789.85,0.92,8855552.0,215000748.12,25526426.39,0.117,40,138110684.79,16397488.19,4.4105,-0.9237
60,West Bengal,Grassland,26.36,223.87,23604852.8,479555.03,392989.18,43867.5,0.62,326864.0,24848128.51,7705703.71,0.077,50,17148066.85,5317821.92,1.2254,-0.786
61,Maharashtra,Wetland,316.55,176.98,224092076.0,5179874.35,3215595.63,1981232.26,0.88,5571280.0,240040058.24,19424012.92,0.055,40,193764354.07,15679388.45,8.9755,-0.9347
62,Karnataka,Agriculture,475.45,223.66,425356588.0,7793300.08,4783846.57,1662377.95,0.34,3233060.0,442829172.6,78888851.66,0.062,50,327803540.38,58397338.0,3.1553,-0.8681
63,Tamil Nadu,Wetland,293.91,28.66,33693842.4,8629159.45,4355963.6,2140680.38,0.6,3526920.0,52346565.83,37438815.43,0.103,20,43026614.0,30773087.68,0.1493,-0.4121
64,Uttar Pradesh,Urban,343.94,49.03,67453512.8,9552307.4,4365624.97,3284007.64,0.74,5090312.0,89745764.81,69941505.62,0.068,10,84031614.99,65488301.14,0.2015,-0.2703
65,Uttar Pradesh,Grassland,466.7,217.86,406701048.0,2861088.83,1093371.07,2047959.08,0.81,7560540.0,420264006.98,138525442.39,0.044,40,353769348.9,116607786.41,1.5538,-0.7225
66,Uttar Pradesh,Barren Land,299.09,101.41,121322867.6,8747742.43,3872481.53,2555711.59,0.55,3289990.0,139788793.15,45971591.24,0.055,20,125593578.9,41303287.2,1.732,-0.7045
67,Uttar Pradesh,Forest,32.91,217.53,28635649.2,833364.31,493529.21,328103.86,0.62,408084.0,30698730.58,7972343.96,0.115,10,27532493.79,7150084.27,2.4535,-0.7671
68,Maharashtra,Solar Farm,425.58,69.36,118072915.2,6921464.33,1565739.63,4079805.33,0.65,5532540.0,136172464.49,45605451.29,0.09,50,88502758.62,29640414.18,0.9406,-0.7823
69,Karnataka,Solar Farm,310.97,95.96,119362724.8,2437675.11,3336848.52,1767170.77,0.78,4851132.0,131755551.2,55987310.99,0.107,20,107516144.04,45687181.59,0.9204,-0.6532
70,West Bengal,Grassland,278.19,144.63,160938478.8,7487856.64,2015563.68,613725.27,0.22,1224036.0,172279660.39,66427408.29,0.086,50,114047266.55,43974223.79,0.7169,-0.7448
71,Assam,Barren Land,353.52,61.11,86414428.8,2972851.1,773883.79,1468977.42,0.64,4525056.0,96155197.11,52342528.71,0.069,10,89948734.43,48964011.89,0.7185,-0.4908
72,Uttar Pradesh,Barren Land,452.56,93.58,169402259.2,8078077.08,5515570.1,2067694.61,0.67,6064304.0,191127904.99,120195830.01,0.115,50,110904651.76,69745318.83,-0.0773,-0.6351
73,Odisha,Urban,77.8,232.38,72316656.0,1346166.19,416788.37,399286.86,0.94,1462640.0,75941537.42,13471421.93,0.06,30,63761979.2,11310865.62,3.7331,-0.8511
74,West Bengal,Grassland,318.53,67.63,86168735.6,2196768.65,1170736.75,685607.97,0.31,1974886.0,92196734.97,26981654.83,0.088,20,77885704.15,22793488.14,1.8866,-0.7528
75,Odisha,Barren Land,95.03,92.96,35335955.2,2605695.06,775587.47,665972.11,0.33,627198.0,40010407.84,9319806.36,0.034,30,36191898.23,8430343.54,2.8833,-0.7893
76,West Bengal,Grassland,88.62,76.86,27245332.8,835266.73,279430.64,184836.76,0.55,974820.0,29519686.93,9002323.53,0.063,20,26124333.44,7966876.55,1.902,-0.7301
77,Gujarat,Industrial,254.19,175.69,178634564.4,1520768.82,3150007.68,1690644.0,0.26,1321788.0,186317772.9,68223237.62,0.113,20,150405582.4,55073413.7,1.2046,-0.7044
78,Gujarat,Forest,35.23,76.45,10773334.0,886211.78,413155.46,93736.08,0.36,253656.0,12420093.32,5024433.05,0.074,10,11564332.7,4678243.06,1.3016,-0.6233
79,West Bengal,Industrial,311.04,98.54,122599526.4,5151869.95,3644493.69,413729.49,0.39,2426112.0,134235731.53,71022063.8,0.111,40,88107301.09,46616219.75,0.2406,-0.6527
80,Maharashtra,Barren Land,258.28,137.71,142270955.2,1983409.68,2018809.66,1496359.49,0.38,1962928.0,149732462.03,30299035.42,0.064,50,109801386.94,22218803.24,2.6239,-0.8516
81,Tamil Nadu,Barren Land,14.94,87.3,5217048.0,153675.83,93486.54,31043.22,0.87,259956.0,5755209.59,2964067.81,0.091,30,4431868.77,2282516.28,0.4952,-0.6034
82,Maharashtra,Barren Land,395.64,129.63,205147252.8,2837928.57,3553790.82,2485240.38,0.76,6013728.0,220037940.57,62477445.72,0.041,50,179988154.51,51105732.61,1.8809,-0.7677
83,Uttar Pradesh,Solar Farm,145.47,97.14,56523823.2,3076389.53,1370344.56,611682.52,0.94,2734836.0,64317075.81,29304015.74,0.051,50,50154824.0,22851439.27,0.7115,-0.6447
84,Maharashtra,Urban,55.38,46.69,10342768.8,617428.47,226440.95,148368.74,0.41,454116.0,11789122.96,5169357.43,0.111,30,8596849.43,3769592.33,0.663,-0.6802
85,Odisha,Grassland,44.72,135.88,24306214.4,682423.65,660555.63,89813.42,0.5,447200.0,26186207.1,13074679.44,0.108,50,15681001.5,7829467.9,0.1993,-0.701
86,Maharashtra,Agriculture,409.45,71.9,117757820.0,3796498.07,4377987.56,3834246.99,0.62,5077180.0,134843732.62,78984203.93,0.055,20,121150677.32,70963548.82,0.5339,-0.4737
87,Tamil Nadu,Grassland,385.9,54.89,84728204.0,5052195.43,2906086.98,2148881.61,0.38,2932840.0,97768208.02,30373882.67,0.085,30,76543521.83,23779958.72,1.52,-0.7568
88,Tamil Nadu,Wetland,147.87,149.5,88426260.0,1309990.37,1220640.43,856655.99,0.24,709776.0,92523322.79,19836918.65,0.042,30,81780180.41,17533598.42,3.1226,-0.8105
89,Assam,Industrial,36.37,247.59,36019393.2,474950.23,455656.74,119721.53,0.71,516454.0,37586175.7,8730871.82,0.084,20,31986710.17,7430175.09,2.6636,-0.8023
90,Maharashtra,Agriculture,238.43,108.84,103802884.8,3271666.52,3358019.24,2020831.27,0.92,4387112.0,116840513.83,19330546.75,0.096,50,73882347.74,12223381.52,2.8221,-0.8954
91,Tamil Nadu,Grassland,469.48,53.5,100468720.0,3127866.69,5462197.19,2896812.73,0.83,7793368.0,119748964.61,39879083.84,0.102,20,98607188.88,32838399.61,1.4727,-0.7258
92,Uttar Pradesh,Urban,104.81,49.28,20660147.2,954467.46,1319502.49,732283.89,0.59,1236758.0,24903159.04,14642755.76,0.109,10,22455508.6,13203566.96,0.5336,-0.4698
93,Assam,Wetland,199.26,205.98,164174299.2,3183850.55,1374949.31,1029002.17,0.43,1713636.0,171475737.23,47205161.27,0.075,30,138031207.1,37998293.5,1.9241,-0.7784
94,West Bengal,Grassland,119.95,225.9,108386820.0,1750943.8,1087489.15,1098531.97,0.67,1607330.0,113931114.92,9502980.0,0.115,50,66110129.89,5514237.64,5.9568,-0.9516
95,Maharashtra,Agriculture,315.72,90.38,114139094.4,2677874.47,3890405.23,2077644.33,0.6,3788640.0,126573658.43,86340941.58,0.101,20,104416395.0,71226588.31,0.2093,-0.4373
96,Karnataka,Agriculture,80.08,84.81,27166339.2,897875.26,934637.85,104247.5,0.63,1009008.0,30112107.81,19268422.89,0.109,40,19907419.67,12738549.67,0.0332,-0.577
97,Uttar Pradesh,Forest,174.33,207.1,144414972.0,1353810.77,2266966.36,374355.89,0.5,1743300.0,150153405.02,43464625.28,0.043,10,143962996.18,41672699.21,2.3122,-0.7225
98,Gujarat,Forest,118.48,183.34,86888492.8,2725148.22,1224481.23,858451.11,0.61,1445456.0,93142029.36,13382288.12,0.061,30,77982929.23,11204286.99,4.8273,-0.8797
99,Tamil Nadu,Barren Land,94.89,228.03,86551066.8,1858401.19,684258.28,489447.58,0.91,1726998.0,91310171.85,8382378.66,0.083,10,84312254.71,7739961.83,9.0583,-0.9152
100,Assam,Wetland,255.41,156.75,160142070.0,1392688.05,3406559.18,2398060.97,0.62,3167084.0,170506462.2,57253396.73,0.113,50,99830908.12,33521653.75,0.7437,-0.8034
101,Odisha,Forest,355.08,46.61,66201115.2,6891111.77,3510780.92,1710482.87,0.75,5326200.0,83639690.76,100697759.9,0.113,10,75147970.13,90474177.81,-0.2537,0.0817
102,Karnataka,Barren Land,228.17,37.18,33933442.4,6758630.41,2944687.89,484168.56,0.89,4061426.0,48182355.26,61029563.23,0.077,20,41539055.63,52614912.84,-0.3194,0.092
103,Odisha,Grassland,297.68,105.76,125930547.2,1895936.12,1892519.69,2448620.73,0.2,1190720.0,133358343.74,39703008.36,0.066,10,125101635.78,37244848.37,2.1509,-0.7207
104,Assam,Grassland,271.01,230.77,250163910.8,3701630.7,1764381.23,2069841.92,0.54,2926908.0,260626672.65,28768038.27,0.071,30,212153620.23,23417570.44,6.3746,-0.9101
105,Karnataka,Agriculture,74.72,52.33,15640390.4,1304551.0,556367.42,689935.57,0.47,702368.0,18893612.39,14581390.38,0.087,20,15990274.28,12340701.54,0.0966,-0.3468
106,Maharashtra,Barren Land,11.48,169.25,7771960.0,108496.32,166390.13,26839.83,0.51,117096.0,8190782.28,818953.55,0.12,30,5830037.04,582914.96,6.1189,-0.9288
107,West Bengal,Barren Land,253.59,152.89,155085500.4,1693198.1,2979552.18,732659.63,0.87,4412466.0,164903376.31,25684840.36,0.047,40,137228027.53,21374213.55,4.3428,-0.8704
108,Tamil Nadu,Wetland,23.09,123.3,11387988.0,441504.54,65903.76,184252.39,0.54,249372.0,12329020.69,4181542.83,0.07,20,10768644.15,3652321.45,1.5753,-0.7038
109,Tamil Nadu,Forest,203.38,144.31,117399071.2,1806219.03,887767.06,1780809.64,0.91,3701516.0,125575382.93,29149912.19,0.054,10,119141729.54,27656463.18,3.0872,-0.7798
110,Maharashtra,Urban,323.78,108.1,140002472.0,1824389.86,1304828.14,2410137.39,0.69,4468164.0,150009991.39,18382285.11,0.05,10,142866658.47,17506938.2,6.772,-0.8833
111,Assam,Urban,119.38,171.25,81775300.0,655726.1,400330.27,978825.84,0.33,787908.0,84598090.21,25450207.59,0.051,50,65970075.16,19846217.61,1.5921,-0.7654
112,Karnataka,Barren Land,54.22,68.36,14825916.8,1250132.83,711586.21,459350.69,0.5,542200.0,17789186.53,11766894.03,0.048,50,14071800.71,9307979.73,0.1959,-0.4768
113,Karnataka,Forest,150.11,225.12,135171052.8,799342.97,467083.91,430962.25,0.22,660484.0,137528925.93,14314318.29,0.082,10,127106216.2,13229499.34,7.8797,-0.9038
114,Assam,Solar Farm,213.61,224.24,191599625.6,5433402.98,1376422.86,712348.96,0.48,2050656.0,201172456.4,42203725.67,0.054,10,190865708.16,40041485.46,3.5225,-0.801
115,Tamil Nadu,Solar Farm,313.95,108.26,135952908.0,5902630.31,2407885.01,1145977.73,0.91,5713890.0,151123291.05,75631009.77,0.043,40,127700962.04,63909094.62,0.6885,-0.5771
116,Odisha,Agriculture,434.89,126.98,220889328.8,11900245.45,5391817.68,2099179.91,0.22,1913516.0,242194087.84,50955774.21,0.079,50,165598467.75,34840644.57,2.2498,-0.8561
117,Assam,Forest,318.57,71.89,91607989.2,2702716.61,4094928.43,3140979.02,0.59,3759126.0,105305739.26,29601467.52,0.055,40,85004555.9,23894800.21,1.8716,-0.7731
118,West Bengal,Urban,14.1,229.43,12939852.0,112007.26,133875.47,48877.61,0.62,174840.0,13409452.34,3001256.87,0.105,30,9938577.0,2224417.65,2.3115,-0.8341
119,West Bengal,Forest,107.18,12.64,5419020.8,902685.05,1468391.97,950151.85,0.65,1393340.0,10133589.67,21449849.28,0.09,40,7178890.4,15195614.0,-0.6653,0.4995
120,Tamil Nadu,Solar Farm,91.81,229.46,84266890.4,1420233.05,640907.33,520586.51,0.24,440688.0,87289305.29,8407119.02,0.096,50,55196083.93,5316115.71,5.5654,-0.9391
121,Odisha,Wetland,45.99,154.76,28469649.6,512040.14,324728.17,165483.22,0.47,432306.0,29904207.13,10566730.29,0.057,40,23956995.04,8465267.25,1.2672,-0.7169
122,Tamil Nadu,Wetland,285.37,124.25,141828890.0,6161646.01,4046200.34,2166856.89,0.36,2054664.0,156258257.24,16493182.81,0.054,40,126613651.17,13364171.16,6.6767,-0.9145
123,Karnataka,Industrial,299.56,22.34,26768681.6,5215086.83,2923393.17,1200694.9,0.78,4673136.0,40780992.5,22961143.18,0.037,40,35264908.84,19855392.71,0.5359,-0.5131
124,Assam,Industrial,365.45,128.92,188455256.0,8116666.39,2796699.46,1175878.61,0.81,5920290.0,206464790.46,91309133.24,0.093,40,144665626.43,63978429.1,0.5844,-0.6901
125,Maharashtra,Wetland,139.71,151.66,84753674.4,1959341.58,445754.11,1293130.92,0.3,838260.0,89290161.01,40174915.18,0.07,30,72887368.86,32794697.97,0.8143,-0.6327
126,Uttar Pradesh,Forest,96.64,140.06,54141593.6,2592237.14,1113188.77,798154.62,0.69,1333632.0,59978806.13,21557401.8,0.106,40,40084577.38,14407078.04,0.8594,-0.7598
127,Uttar Pradesh,Grassland,128.59,127.46,65560325.6,1354083.05,1908234.98,1221159.31,0.23,591514.0,70635316.94,29111977.86,0.113,50,41356718.95,17044956.24,0.4206,-0.7587
128,Tamil Nadu,Agriculture,94.38,146.31,55234951.2,2631994.64,230409.68,686782.72,0.42,792792.0,59576930.24,26530128.23,0.117,50,34261964.16,15257152.37,0.2914,-0.7439
129,Tamil Nadu,Urban,472.41,123.81,233956328.4,12542989.22,6131476.56,1829126.29,0.82,7747524.0,262207444.47,27991194.18,0.084,40,189901278.67,20272359.46,5.7843,-0.9227
130,Maharashtra,Wetland,118.85,38.94,18512076.0,822897.2,1313500.97,482397.25,0.74,1758980.0,22889851.42,7884400.28,0.058,40,18268391.19,6292540.13,1.317,-0.7251
131,West Bengal,Forest,272.05,199.77,217389714.0,3528165.46,2757658.74,2441322.22,0.66,3591060.0,229707920.42,29446656.28,0.032,10,222585194.21,28533581.67,6.5589,-0.8758
132,Assam,Agriculture,435.7,15.1,26316280.0,11706187.97,3867352.82,4118066.17,0.8,6971200.0,52979086.96,130484972.99,0.062,50,39217678.84,96591278.89,-0.6994,0.8232
133,Odisha,Grassland,384.76,106.46,163846198.4,6539723.59,3908227.03,3410164.06,0.94,7233488.0,184937801.08,93138219.68,0.068,50,133097355.34,67030378.04,0.429,-0.6376
134,Odisha,Grassland,213.57,187.02,159767445.6,2342740.88,733861.43,895199.89,0.42,1793988.0,165533235.8,26499131.32,0.051,50,129083765.13,20664174.34,3.8712,-0.8752
135,Odisha,Solar Farm,25.84,14.29,1477014.4,767268.66,195377.55,115219.01,0.71,366928.0,2921807.62,2701920.12,0.115,40,1890393.21,1748127.22,-0.3004,-0.4017
136,Odisha,Grassland,394.24,31.46,49611161.6,6086876.13,5294066.82,3746300.37,0.55,4336640.0,69075044.92,80169826.52,0.045,40,57923662.48,67227317.44,-0.2775,-0.0267
137,Assam,Urban,495.63,65.6,130053312.0,14159303.73,5177056.79,3206543.29,0.58,5749308.0,158345523.81,53363219.7,0.046,40,132275390.68,44577456.72,1.4788,-0.7185
138,Tamil Nadu,Forest,114.14,54.75,24996660.0,2795244.3,747802.86,173559.47,0.93,2123004.0,30836270.63,30925830.23,0.113,40,20094684.47,20153046.65,-0.3502,-0.3464
139,Karnataka,Urban,497.48,51.73,102938561.6,7415461.99,5898670.2,3613787.03,0.32,3183872.0,123050352.82,126339165.76,0.05,40,101233829.79,103939544.33,-0.1987,-0.1553
140,Gujarat,Grassland,115.79,138.87,64319029.2,2295362.88,1104766.37,211129.35,0.86,1991588.0,69921875.8,13477957.23,0.042,30,61803050.79,11912993.83,3.5855,-0.8296
141,Tamil Nadu,Urban,444.93,239.36,425993779.2,11814311.02,5572173.83,3068761.33,0.61,5428146.0,451877171.38,31922254.77,0.067,40,348628368.76,24628382.03,9.9212,-0.9455
142,Assam,Barren Land,189.48,72.34,54827932.8,4374241.08,1600420.95,327689.73,0.37,1402152.0,62532436.56,41839967.63,0.037,40,54074227.72,36180645.79,0.2924,-0.4214
